Subj,Antisaccade,AntisaccadeT,Stroop.control,Stroop.incongruent,Stroop,StroopPerf,StroopPerfT,x.l,x.m,x.n,x.s,SSRTshort,SSRTmed,SSRTlong,ToAvgS,ToAvgM,ToAvgL,SSRTavg,LetMem,LetMemT,LetMemHard,LetMemHardT,KeepTrack,KeepTrackT,SpatialBack,SpatialBackT,NumLet.0,NumLet.1,NumLett,NumLetPerf,ColShape.0,ColShape.1,ColShape,ColShapePerf,CatSwitch.0,CatSwitch.1,CatSwitch,CatSwitchPerf,SD1,SD2,SD3,SD4,FR1,FR2,FR3,FR4
192,0.6444444,0.7002965,807.6982,823.366,-15.6677296,0.975,1.346721,0.5,0.09375,0.8506944,0,NA,-182.72,-207.12,NA,NA,-207.12,-207.12,0.92,1.1680805,0.9333333,1.2035883,0.5833333,0.6228266,0.8522727,1.0203148,866.7955,1324.9975,-458.20197,0.9019608,596.8913,1008.9841,-412.0928,0.9215686,919.0823,1399.0905,-480.00822,0.9803922,0.7875,0.825,0.8875,0.8625,0.6625,0.7125,0.75,0.8375
91,NA,NA,1017.9494,1076.0952,-58.1457805,0.9416667,1.2275487,0.90625,0.90625,0.9201389,1,-1388.36,-516,-341,NA,NA,NA,NA,0.4666667,0.4855181,0.6533333,0.7119791,0.6111111,0.6574636,NA,NA,952.8908,1372.5865,-419.69568,0.9705882,1015.3559,1338.0998,-322.74388,0.9803922,1312.004,1445.8456,-133.84163,0.6470588,0.6,0.65,0.625,0.8,0.6875,0.75,0.8,0.7625
28,0.5444444,0.5757266,830.5381,822.0923,8.4457962,1,1.5707963,0.875,0.6875,0.9201389,0.25,-498.95,-280.64,-338.65,-498.95,-280.64,NA,-389.795,0.8,0.9272952,0.84,0.9972832,0.6111111,0.6574636,NA,NA,1082.2037,1639.6576,-557.45393,0.9215686,776.8603,1265.0561,-488.19577,0.8921569,909.112,1132.3109,-223.19891,0.8921569,0.675,0.7625,0.8125,0.85,0.625,0.7,0.7125,0.725
167,0.6,0.6435011,757.545,854.4239,-96.8788889,0.9583333,1.2811093,0.78125,0.90625,0.1666667,0.875,-930.8,-653.85,-272.29,NA,NA,-272.29,NA,0.72,0.8038023,0.76,0.8633131,0.6111111,0.6574636,NA,NA,735.5479,1087.7361,-352.1882,0.9215686,794.5704,1389.4021,-594.83163,0.9901961,1166.8875,1342.0314,-175.14393,0.8921569,0.5375,0.7125,0.8375,0.775,0.65,0.75,0.7125,0.775
103,NA,NA,1162.5423,1171.702,-9.1597083,0.9833333,1.3879676,0.4375,0.03125,0.9409722,0.03125,-597.49,-202.49,-279.56,NA,NA,-279.56,-279.56,0.7333333,0.823212,0.7733333,0.8840821,0.6111111,0.6574636,0.8636364,1.0424391,991.7944,1520.2168,-528.42238,0.9803922,976.108,1299.0125,-322.90455,0.9803922,1435.7586,1583.5339,-147.77528,0.9019608,0.8,0.7625,0.8875,0.9125,0.625,0.75,0.725,0.8125
144,0.8555556,1.026623,938.1279,970.9477,-32.8198696,0.9666667,1.3118748,0.28125,0.03125,0.9583333,0.0625,-531.99,-195.99,-181.24,NA,NA,-181.24,-181.24,0.44,0.4555987,0.508218,0.5006547,0.6111111,0.6574636,0.8977273,1.1145833,610.4803,849.2416,-238.76128,0.9019608,486.858,683.8967,-197.03867,0.7647059,1097.813,1309.4204,-211.60749,0.9607843,0.7875,0.95,0.8375,0.8,0.6625,0.7875,0.8125,0.7875
185,0.6,0.6435011,1021.8604,1051.6196,-29.7592792,0.9916667,1.4416071,0.625,0.375,0.9583333,0.0625,-565.43,-360.25,-321.67,NA,-360.25,-321.67,-340.96,0.3466667,0.3540151,0.6266667,0.6772684,0.6111111,0.6574636,0.9090909,1.1410967,949.2269,1686.2044,-736.97751,0.9411765,854.3754,1309.2569,-454.88147,0.9215686,1065.841,1570.1817,-504.34072,0.9607843,0.8375,0.8625,0.925,0.8625,0.5375,0.4625,0.625,0.7375
61,NA,NA,1418.3875,1369.2765,49.1109615,0.9666667,1.3118748,0.96875,0.9375,0.875,0.90625,-809.88,-519.87,-491.25,NA,NA,NA,NA,0.68,0.7477626,0.8133333,0.9498587,0.6388889,0.6930531,0.75,0.8480621,1013.5368,1792.4815,-778.94468,0.9705882,985.3635,1416.9061,-431.54257,0.9215686,1039.6437,1326.3196,-286.67588,0.8039216,0.675,0.8375,0.8125,0.825,0.675,0.675,0.7125,0.525
125,0.7333333,0.823212,942.5844,952.1084,-9.5239636,0.975,1.346721,0.5625,0.625,0.4861111,0.5,-871.41,-484.08,-283.31,-871.41,-484.08,-283.31,-546.2667,0.68,0.7477626,0.88,1.0758622,0.6388889,0.6930531,0.9431818,1.2320795,840.2336,1292.7769,-452.54326,0.9803922,806.7922,1069.5161,-262.72389,0.9803922,885.8784,1243.351,-357.4726,0.8333333,0.775,0.85,0.8875,0.8875,0.6125,0.7625,0.6875,0.7
161,0.7777778,0.8911225,860.7504,905.816,-45.0656571,0.9666667,1.3118748,0.90625,0.59375,0.9791667,0.15625,-632.76,-329.94,-426.08,-632.76,-329.94,NA,-481.35,0.8266667,0.9731577,0.8933333,1.1047087,0.6388889,0.6930531,0.6590909,0.7196093,856.5761,1653.67,-797.09394,0.8137255,902.45,1317.1407,-414.69073,0.9705882,1201.1308,1384.6753,-183.54454,0.9803922,0.4875,0.475,0.6,0.85,0.575,0.5125,0.5,0.4875
74,0.4333333,0.4481881,921.0808,921.5131,-0.432325,1,1.5707963,0.96875,1,1,1,-1386.26,-955.26,-325.59,NA,NA,NA,NA,0.6266667,0.6772684,0.7333333,0.823212,0.6388889,0.6930531,NA,NA,681.4721,NA,NA,0.5,967.3245,1185.8885,-218.56396,0.9901961,977.4355,1424.1922,-446.75672,0.9803922,0.7,0.7625,0.925,0.875,0.5125,0.5875,0.775,0.7625
4,0.7666667,0.8736332,1477.7151,1651.4424,-173.7273094,0.9833333,1.3879676,0.84375,0.84375,0.9375,0.5,-663.23,-513.01,-338.01,-663.23,-513.01,-338.01,-504.75,0.4933333,0.5159177,0.6,0.6435011,0.6666667,0.7297277,0.7159091,0.7979253,928.9059,1401.0065,-472.10051,0.8823529,930.4792,1436.1958,-505.71659,0.7156863,814.3285,1396.0276,-581.69912,0.6470588,0.675,0.85,0.8,0.875,0.675,0.6125,0.7125,0.8125
191,NA,NA,1063.3758,1032.98,30.3957778,0.9333333,1.2035883,0.65625,0.375,0.8020833,0.34375,-809.76,-138.23,-269.45,-809.76,-138.23,-269.45,NA,0.6533333,0.7119791,0.7333333,0.823212,0.6666667,0.7297277,0.6704545,0.7348213,1127.5532,1474.2181,-346.66492,0.9019608,1199.0309,1474.5405,-275.50966,0.8823529,1131.9803,1260.8458,-128.86552,0.7941176,0.4625,0.6125,0.5375,0.5125,0.55,0.5875,0.5375,0.6375
65,0.6333333,0.685853,1175.001,1258.0586,-83.0576471,0.9333333,1.2035883,0.8125,0.625,0.7847222,0.4375,-789.54,-328.04,-298.69,-789.54,-328.04,-298.69,-472.09,0.52,0.546851,0.7866667,0.9053911,0.6666667,0.7297277,NA,NA,1109.7754,2167.3141,-1057.53875,0.9019608,1038.0923,1836.5991,-798.50684,0.9019608,1180.5945,1242.106,-61.51148,0.8431373,0.5125,0.8625,0.85,0.85,0.55,0.7125,0.625,0.6875
79,NA,NA,820.5942,812.01,8.58425,0.6281847,0.7454004,0.71875,0.5625,0.8402778,0.375,-672.41,-72.62,-26.7,-672.41,-72.62,-26.7,NA,0.84,0.9972832,0.92,1.1680805,0.6666667,0.7297277,0.8863636,1.089431,766.3112,1077.9686,-311.65732,0.8333333,700.2715,1016.2673,-315.99583,0.9705882,1605.9223,1803.2911,-197.36885,0.8627451,0.675,0.7,0.7625,0.775,0.725,0.725,0.675,0.5875
62,0.9444444,1.2359002,1275.8923,1403.5738,-127.6815009,0.875,1.0654358,0.8125,0.59375,0.9791667,0.03125,-395.28,-116.9,-41.98,NA,-116.9,-41.98,-79.44,0.7066667,0.7847759,0.8,0.9272952,0.6666667,0.7297277,0.8522727,1.0203148,834.6366,1320.6087,-485.97213,0.9607843,1160.6763,1711.7154,-551.03907,0.9313725,815.5617,1158.3042,-342.74242,0.9215686,0.825,0.85,0.8625,0.8,0.625,0.6,0.7875,0.675
145,0.8222222,0.9653044,810.7431,967.7846,-157.0415684,0.9083333,1.1392818,0.90625,0.90625,0.8645833,0.875,-911.16,-542.54,-367.54,NA,NA,NA,NA,0.92,1.1680805,0.96,1.2870022,0.6666667,0.7297277,0.7840909,0.90123,780.8877,933.6338,-152.74607,0.9705882,720.7875,1034.1434,-313.35593,0.8921569,738.315,1222.5163,-484.20129,0.9313725,0.475,0.4875,0.4625,0.4,0.5875,0.675,0.675,0.6875
156,0.5777778,0.6160034,1091.3679,1063.5139,27.854057,0.9916667,1.4416071,0.46875,0.3125,0.875,0.03125,-446,-205.03,-88.7,NA,-205.03,-88.7,-146.865,0.6933333,0.7661045,0.7733333,0.8840821,0.6666667,0.7297277,NA,NA,890.5026,1526.5549,-636.05231,0.9607843,786.0827,1297.8483,-511.76561,0.9607843,766.8457,1230.8961,-464.05038,0.9411765,0.8125,0.8625,0.8125,0.8,0.6,0.7,0.725,0.775
179,0.8444444,1.0055271,1044.2242,1089.4047,-45.1805859,0.9916667,1.4416071,0.6875,0.15625,0.9861111,0.0625,-448.25,-205.21,-307.15,NA,-205.21,-307.15,-256.18,0.5733333,0.6105685,0.8266667,0.9731577,0.6666667,0.7297277,0.8522727,1.0203148,1110.1243,1516.8827,-406.7584,0.9901961,1005.2237,1181.291,-176.06726,1,971.8715,1133.8876,-162.01612,0.9901961,0.5625,0.85,0.8625,0.825,0.675,0.675,0.725,0.65
182,0.8111111,0.9460493,879.5406,624.43,NA,0.6281847,NA,0.9375,1,0.9930556,0.96875,-922.84,-1074.06,-355.81,NA,NA,NA,NA,0.9333333,1.2035883,0.96,1.2870022,0.6944444,0.7676475,NA,NA,828.5,1285.9133,-457.41333,0.5686275,728.9278,1129.7771,-400.84931,0.9411765,432.2367,501.85,-69.61333,0.3921569,0.7375,0.875,0.8375,0.9,0.6625,0.7,0.775,0.691358
197,0.4777778,0.4981233,939.8581,1097.973,-158.1148392,0.8416667,1.0003623,0.875,0.53125,0.9548611,0.03125,-403.72,-221.23,-345.52,NA,-221.23,NA,-221.23,0.68,0.7477626,0.8266667,0.9731577,0.6944444,0.7676475,NA,NA,835.2909,1101.0741,-265.78318,0.8039216,754.7003,1110.0842,-355.38387,0.7058824,928.7422,1118.8153,-190.07316,0.6764706,0.725,0.8,0.6125,0.75,0.5625,0.4375,0.5625,0.5375
194,NA,NA,1114.1384,1137.2818,-23.1433437,0.8083333,0.9413156,0.3125,0.46875,0.3993056,0.40625,-525.43,57.61,301.08,-525.43,57.61,301.08,-55.58,0.6933333,0.7661045,0.7466667,0.8430368,0.6944444,0.7676475,NA,NA,863.1932,1838.4138,-975.22062,0.9117647,865.2206,1261.2948,-396.07428,0.8921569,775.5488,1180.3136,-404.76489,0.7352941,0.675,0.7375,0.8625,0.8375,0.675,0.6125,0.5875,0.55
68,0.6888889,0.7599551,968.2133,983.2726,-15.0592982,0.975,1.346721,0.15625,0.25,0.6666667,0.0625,-513.54,-219.52,26.41,NA,-219.52,26.41,-96.555,0.8666667,1.0484815,0.9066667,1.135314,0.6944444,0.7676475,NA,NA,807.8725,1167.4714,-359.59889,0.9607843,733.6374,1149.1119,-415.47445,0.8627451,777.9787,1064.2396,-286.26095,0.8137255,0.625,0.575,0.725,0.6375,0.7125,0.75,0.675,0.6125
29,0.7,0.7753975,808.1115,794.9928,13.1187307,0.95,1.2532359,0.9375,0.96875,0.9722222,1,-1321.68,-520.23,-225.95,NA,NA,NA,NA,0.7066667,0.7847759,0.7866667,0.9053911,0.6944444,0.7676475,NA,NA,752.0119,1202.0408,-450.02893,0.9607843,669.9802,914.1732,-244.19294,0.9607843,702.7034,862.1164,-159.41299,0.8235294,0.4125,0.475,0.4375,0.4125,0.65,0.4875,0.575,0.5125
162,0.7555556,0.8565018,705.7922,799.7334,-93.9412522,0.8916667,1.1010136,0.53125,0.46875,0.9097222,0.4375,-725.73,-336.48,-208.87,-725.73,-336.48,-208.87,NA,0.84,0.9972832,0.8933333,1.1047087,0.6944444,0.7676475,0.8522727,1.0203148,903.042,1082.1829,-179.14081,0.9803922,803.1476,1023.6274,-220.47979,0.9607843,912.2813,1107.8424,-195.5611,0.8431373,0.775,0.9125,0.8875,0.8875,0.675,0.85,0.825,0.8375
67,0.7666667,0.8736332,1519.9336,1534.2247,-14.2911614,0.8916667,1.1010136,0.40625,0.1875,0.90625,0.1875,-691.17,-347.17,-290.76,-691.17,-347.17,-290.76,-443.0333,0.8533333,1.0223457,0.9066667,1.135314,0.6944444,0.7676475,0.9545455,1.2681311,718.1976,911.4756,-193.27802,0.8529412,670.2218,999.9776,-329.75578,0.9019608,899.2037,1088.5142,-189.31053,0.8823529,0.7875,0.85,0.8375,0.775,0.65,0.725,0.6375,0.6375
116,0.5888889,0.6296834,1467.6339,1514.7426,-47.1087199,0.9583333,1.2811093,0.25,0.21875,0.8090278,0,NA,-463.05,-309.4,NA,-463.05,-309.4,-386.225,0.8533333,1.0223457,0.96,1.2870022,0.6944444,0.7676475,0.7727273,0.8831267,1279.3087,1420.8381,-141.52936,0.9803922,1052.2825,1378.7088,-326.42629,0.9019608,979.5458,1201.0797,-221.53383,0.8921569,0.775,0.8,0.725,0.6875,0.675,0.8125,0.7,0.775
46,0.5555556,0.589031,869.2427,890.5061,-21.263448,0.9833333,1.3879676,0.21875,0.15625,0.96875,0.03125,-483.05,-280.39,-155.51,NA,-280.39,-155.51,-217.95,0.7733333,0.8840821,0.9066667,1.135314,0.6944444,0.7676475,0.8295455,0.9782932,1029.46,1422.7467,-393.28674,1,788.7389,999.2347,-210.49584,0.9705882,1005.41,1312.6094,-307.19944,0.8921569,0.6,0.8375,0.8875,0.85,0.6875,0.6625,0.7,0.7125
53,0.4666667,0.4855181,1051.2323,1072.3904,-21.1580432,0.9916667,1.4416071,0.65625,0.71875,0.6770833,0.65625,-753.28,-122.39,115.72,-753.28,-122.39,115.72,-253.3167,0.7066667,0.7847759,0.7866667,0.9053911,0.6944444,0.7676475,NA,NA,1116.2964,2369.5457,-1253.24926,0.9117647,1390.5097,2236.1857,-845.67593,0.8921569,909.3977,1566.0877,-656.69002,0.9215686,0.8,0.875,0.875,0.875,0.625,0.7,0.675,0.725
108,0.6,0.6435011,985.2737,963.7791,21.4945663,0.9583333,1.2811093,0.5,0.125,0.8298611,0.09375,-646.42,-229.51,-234.94,NA,NA,-234.94,-234.94,0.64,0.6944983,0.8533333,1.0223457,0.6944444,0.7676475,NA,NA,1039.5433,1634.7028,-595.15952,0.9607843,943.95,1280.0554,-336.10536,0.9313725,1341.9897,1553.4721,-211.48233,0.9313725,0.4625,0.675,0.8125,0.8375,0.65,0.5125,0.6625,0.625
20,0.6555556,0.7149181,1129.7428,1132.5335,-2.7906244,0.9916667,1.4416071,0.65625,0.65625,0.9131944,0.84375,-837.35,-349.96,-174.96,-837.35,-349.96,-174.96,-454.09,0.6533333,0.7119791,0.76,0.8633131,0.6944444,0.7676475,0.7840909,0.90123,1071.3691,1836.723,-765.35393,0.9705882,1066.6658,1396.3133,-329.64752,0.9901961,1084.2853,1413.3692,-329.08391,0.9509804,0.5,0.5125,0.5,0.475,0.55,0.6875,0.5875,0.6875
198,0.8444444,1.0055271,1070.4573,1145.5521,-75.0948605,1,1.5707963,0.90625,0.53125,0.9930556,0.03125,-414.58,-217.96,-287.77,NA,-217.96,NA,-217.96,0.7066667,0.7847759,0.7733333,0.8840821,0.6944444,0.7676475,0.8295455,0.9782932,918.108,1279.4473,-361.33927,0.9901961,887.7843,1613.5705,-725.78619,0.9705882,879.1695,1115.0966,-235.92707,0.9607843,0.7625,0.825,0.8875,0.875,0.7125,0.6875,0.675,0.7875
119,NA,NA,1128.6198,1166.1848,-37.5650359,0.975,1.346721,0.59375,0.21875,0.9340278,0.125,-644.82,-190.73,-326.5,NA,-190.73,-326.5,-258.615,0.96,1.2870022,0.9733333,1.3393399,0.7222222,0.8070098,0.9318182,1.1993908,981.3283,1611.7598,-630.43143,0.9901961,843.1613,1478.699,-635.53776,0.9803922,748.9345,NA,NA,0.3921569,0.6,0.8375,0.85,0.85,0.6875,0.7375,0.7,0.6875
90,NA,NA,970.0714,948.0486,22.0227559,0.9833333,1.3879676,0.96875,0.9375,0.9652778,0.96875,-1149.7,-573.22,-514.7,NA,NA,NA,NA,0.3142857,0.3197041,0.7714286,0.8810832,0.7222222,0.8070098,NA,NA,944.3528,1326.3815,-382.02871,0.9803922,909.8845,1156.7222,-246.83769,0.9607843,863.3169,816.0683,47.24854,0.5686275,0.5875,0.5625,0.7,0.7,0.6625,0.625,0.6625,0.6375
189,NA,NA,1039.7,1002.3969,37.3031034,0.8416667,1.0003623,0.875,0.6875,0.8888889,0.375,-563.53,-188.44,-177.2,-563.53,-188.44,NA,NA,0.32,0.3257295,0.64,0.6944983,0.7222222,0.8070098,0.9090909,1.1410967,787.8059,1101.8985,-314.09255,0.6176471,642.8763,903.54,-260.66371,0.9509804,595.258,636.4243,-41.16635,0.6078431,0.4625,0.7625,0.75,0.8,0.475,0.55,0.6,0.5
41,0.9333333,1.2035883,1004.8641,1014.7893,-9.9252442,0.9,1.1197695,0.96875,0.6875,0.8993056,0.15625,-444.26,-75.28,-328.73,-444.26,-75.28,NA,-259.77,0.4266667,0.4408039,0.64,0.6944983,0.7222222,0.8070098,0.7386364,0.8310452,964.1121,1379.0414,-414.92932,0.9117647,1056.9783,1360.9321,-303.95373,0.9313725,859.3477,1442.0705,-582.72283,0.6176471,0.725,0.8,0.675,0.8625,0.65,0.8,0.8375,0.7
154,0.7,0.7753975,1206.0585,1248.8667,NA,0.6281847,NA,1,0.96875,0.9652778,1,-1415.26,-735.12,-760.26,NA,NA,NA,NA,0.6266667,0.6772684,0.8266667,0.9731577,0.7222222,0.8070098,NA,NA,725.4033,1478.69,NA,0.4411765,863.5194,1392.3024,-528.783,0.9019608,1432.2529,1918.1865,-485.93361,0.7647059,0.5625,0.525,0.625,0.5375,0.4625,0.5375,0.5,0.675
88,0.4,0.4115168,1154.3972,1100.09,54.3071739,0.875,1.0654358,0.90625,0.71875,0.9166667,0.3125,-459.05,-255.06,-194.65,-459.05,-255.06,NA,-357.055,0.5866667,0.6269366,0.72,0.8038023,0.7222222,0.8070098,0.8295455,0.9782932,996.5868,1480.5852,-483.99834,0.9411765,988.4847,1373.7648,-385.28003,0.8529412,665.15,938.8407,-273.69074,0.7843137,0.4875,0.725,0.8,0.8375,0.6375,0.725,0.6875,0.6625
25,0.8555556,1.026623,1196.9582,1297.7225,-100.7642208,0.9583333,1.2811093,0.40625,0.28125,0.9270833,0.125,-577.04,-308.78,-172.47,NA,-308.78,-172.47,-240.625,0.5466667,0.5783782,0.6,0.6435011,0.7222222,0.8070098,0.8409091,0.9989609,895.7529,1424.5256,-528.77273,0.9705882,766.9173,1522.2895,-755.37214,0.9411765,773.8188,1288.9664,-515.14754,0.8235294,0.75,0.7375,0.7375,0.75,0.7,0.7,0.7625,0.6
172,0.9111111,1.1459719,1051.8713,1065.97,-14.0986792,0.9666667,1.3118748,0.8125,0.78125,0.7743056,0.8125,-1085.59,-245.44,-127.59,-1085.59,-245.44,-127.59,NA,0.92,1.1680805,0.96,1.2870022,0.7222222,0.8070098,0.8636364,1.0424391,715.8086,1087.5644,-371.75584,0.9803922,895.0495,1053.9347,-158.88518,0.9803922,1724.8327,1871.4059,-146.57321,0.872549,0.7875,0.8875,0.8,0.775,0.625,0.6125,0.7125,0.775
86,0.7777778,0.8911225,1202.6296,1185.9645,16.665029,0.9583333,1.2811093,0.375,0,0.9340278,0,NA,NA,-162.02,NA,NA,-162.02,-162.02,0.68,0.7477626,0.8,0.9272952,0.7222222,0.8070098,0.8863636,1.089431,784.2838,1251.75,-467.46615,0.9019608,831.0255,1098.9724,-267.94687,0.8823529,1026.6957,1288.4521,-261.75639,0.8921569,0.5125,0.4875,0.55,0.775,0.6375,0.6625,0.625,0.7125
158,0.4555556,0.4729962,1027.2994,1041.651,-14.3515939,0.9833333,1.3879676,0.625,0.59375,0.7951389,0.03125,-510.14,-318.08,-175.12,NA,-318.08,-175.12,-246.6,0.68,0.7477626,0.8533333,1.0223457,0.7222222,0.8070098,0.75,0.8480621,960.334,1455.9521,-495.61806,0.9705882,849.9403,1226.9624,-377.02208,0.9509804,1110.796,1480.3257,-369.52971,0.9215686,0.6375,0.65,0.8,0.7125,0.65,0.7625,0.625,0.5875
181,0.7222222,0.8070098,1024.3775,1011.2746,13.1028249,0.975,1.346721,0.25,0.0625,0.9826389,0.125,-819.14,-352.96,-292.71,NA,NA,-292.71,-292.71,0.7066667,0.7847759,0.76,0.8633131,0.7222222,0.8070098,0.8977273,1.1145833,997.0013,1518.4908,-521.48948,0.9607843,911.898,1513.9785,-602.08049,0.9705882,1394.8014,1624.4789,-229.67751,0.9215686,0.85,0.9125,0.9125,0.8625,0.6875,0.7125,0.75,0.7375
